[0.49811, 0.00011877]
[0.59821, 0.00013963]
[0.69834, 0.00016109]
[0.79871, 0.00018218]
[0.89886, 0.00020386]
[0.99906, 0.00022522]
[1.099, 0.00024571]
[0.4981, 0.00011841]
[0.59824, 0.00013936]
[0.69839, 0.00016124]
[0.79868, 0.00018211]
[0.8989, 0.00020376]
[0.99908, 0.00022483]
[1.0989, 0.00024587]
[0.49816, 0.00011856]
[0.59824, 0.00013999]
[0.69839, 0.000161]
[0.79867, 0.00018247]
[0.89889, 0.00020431]
[0.99905, 0.00022465]
[1.0989, 0.00024613]
[0.49811, 0.0001183]
[0.59822, 0.0001393]
[0.69837, 0.00016067]
[0.7987, 0.00018286]
[0.89895, 0.00020405]
[0.99907, 0.00022466]
[1.099, 0.00024627]
